[epochs, alpha] : accuracy
[1, 0.05] : 0.550920758929

[10, 0.05] : 0.549944196429
[100, 0.05] : 0.544363839286
[10, 0.5] : 0.448102678571
[10, 0.5] : 0.545200892857
[10, 0.9] : 0.557338169643
[10, 0.9] : 0.448800223214
[25, 0.1] : 0.552594866071
[10, 0.1] : 0.552594866071
[10, 0.2] : 0.551618303571
[10, 0.2] : 0.560546875
[10, 0.2] : 0.541852678571
[10, 0.1] : 0.547293526786
[10, 0.1] : 0.549246651786
[10, 0.1] : 0.5478515625
[100, 0.1] : 0.455078125
[100, 0.05] : 0.547293526786
[15, 0.05] : 0.547433035714
